czas_planowania,il_pkt_w_trajektorii,droga_koncowki,droga_jointow,
0.0251,139,0.9906,1.3087
0.0246,58,0.8754,0.9766
0.0266,189,0.9989,2.3535
0.0350,139,0.9907,1.3087
0.0235,251,1.3298,3.4904
0.0390,217,1.1022,2.3560
0.0382,223,2.2347,3.0518
0.0382,325,2.1923,4.1235
0.0268,198,0.9639,1.7345
0.0259,179,0.9690,1.7266
0.0271,189,1.1402,2.8773
0.0213,236,1.1497,3.0707
0.0279,241,2.4413,3.9577
0.0303,268,1.5064,3.7329
0.0340,303,1.5997,3.3161
0.0308,346,1.4772,4.9544
0.0246,158,1.1402,2.0232
0.0460,251,1.8793,4.0836
0.0329,317,1.9108,3.6250
0.0279,166,2.3620,1.9958
0.0287,236,1.1497,3.9241
0.0154,275,1.9483,3.6704
0.0362,58,0.8684,0.7854
0.0191,181,1.8121,2.4468
0.0530,179,0.9690,1.7265
0.0312,299,1.8049,3.6499
0.0332,236,1.1083,3.4004
0.0274,314,3.1545,3.2419
0.0156,198,0.9640,1.7346
0.0257,200,0.8560,2.2800
0.0317,271,1.6591,3.9679
0.0257,58,0.8754,0.9769
0.0156,198,0.9638,1.7343
0.0139,200,0.9690,2.6974
0.0324,139,0.9907,1.3087
0.0312,295,1.3838,3.4465
0.0267,179,0.9690,1.7269
0.0365,217,1.1022,2.3557
0.0290,236,1.1499,3.9245
0.0290,198,1.4271,3.4978
0.0210,158,1.1401,2.0232
0.0297,139,0.9906,1.3088
0.0272,200,0.8560,2.2799
0.0188,181,2.0422,2.7290

min: 0.0139, max: 0.0530, mean: 0.0286

min: 58.0000, max: 346.0000, mean: 209.9545

min: 0.8560, max: 3.1545, mean: 1.3729

min: 0.7854, max: 4.9544, mean: 2.6569

Liczba udanych prób: 44
