czas_planowania,il_pkt_w_trajektorii,droga_koncowki,droga_jointow,
0.0309,342,1.9183,4.4211
0.0199,202,1.6658,2.7793
0.0189,173,1.1901,2.4687
0.0168,173,1.1571,2.1850
0.0291,158,0.7528,2.4687
0.0228,193,1.1572,3.0769
0.0363,223,1.3153,3.1714
0.0298,159,1.3028,2.4546
0.0184,173,1.2997,2.6246
0.0230,222,1.2956,2.8561
0.0199,176,1.4757,3.2548
0.0349,228,1.5126,3.3288
0.0379,305,2.4508,3.8353
0.0370,175,1.0865,2.0987
0.0311,164,1.2470,3.2943
0.0209,149,1.0224,2.3840
0.0344,282,1.4323,3.6519
0.0258,191,1.8459,2.6757
0.0294,158,1.2859,2.6778
0.0714,424,1.2172,4.3930
0.0298,246,1.2914,2.9763
0.0308,147,1.5647,2.4529
0.0193,173,1.1968,2.7081
0.0287,143,1.0284,2.3425
0.0154,143,1.0841,2.2014
0.0164,293,2.3339,3.5590
0.0291,226,1.4428,2.5890
0.0238,193,1.0352,2.6330
0.0285,93,1.0500,1.9452
0.0169,102,1.2495,1.9199
0.0376,234,3.5736,3.3251
0.0460,352,2.8135,4.6104
0.0536,345,1.6884,4.2478
0.0353,160,1.7886,2.3661
0.0177,273,1.4867,3.5325
0.0247,204,1.3236,2.8448
0.0336,246,2.2841,3.0068
0.0268,261,1.8903,3.6722
0.0300,165,1.2902,2.9685
0.0172,126,0.9967,2.2595
0.0221,173,1.2086,3.3169
0.0313,123,1.1937,2.1964
0.0568,654,3.0404,8.6651

min: 0.0154, max: 0.0714, mean: 0.0293

min: 93.0000, max: 654.0000, mean: 217.3256

min: 0.7528, max: 3.5736, mean: 1.5229

min: 1.9199, max: 8.6651, mean: 3.0800

Liczba udanych prób: 43
