czas_planowania,il_pkt_w_trajektorii,droga_koncowki,droga_jointow,
0.0249,217,1.7291,2.9769
0.0202,280,1.0322,2.7705
0.0258,189,0.9989,2.3536
0.0196,285,1.5610,3.3558
0.0127,200,0.8754,1.9477
0.0162,236,1.0995,2.7406
0.0274,179,0.9690,1.7268
0.0235,58,0.8754,0.9766
0.0253,58,0.8753,0.9766
0.0137,200,0.8755,1.9478
0.0256,236,1.1498,3.9243
0.0264,189,0.9906,2.1621
0.0244,158,1.1286,1.8325
0.0161,158,0.8623,1.5004
0.0238,58,0.8753,0.9768
0.0279,236,1.1976,3.0705
0.0142,76,1.1124,1.1700
0.0241,217,1.1022,2.3557
0.0274,189,1.1044,1.8324
0.0234,165,1.2423,1.5767
0.0259,58,0.8684,0.7857
0.0150,189,1.1045,1.8322
0.0156,200,1.3963,3.2972
0.0231,58,0.8754,0.9771
0.0163,158,1.0844,1.5025
0.0243,158,1.0924,1.6934
0.0265,236,1.1083,3.4008
0.0136,217,1.1022,2.3559
0.0235,200,0.8623,2.4710
0.0257,76,1.1124,1.1699
0.0286,283,1.8507,3.6008
0.0270,76,1.1125,1.1702
0.0293,274,1.4812,3.4782
0.0262,189,1.1043,1.8323
0.0155,158,1.1286,1.8325
0.0247,179,1.3965,2.3267
0.0140,189,0.9988,2.3532
0.0240,165,1.2329,1.3854
0.0164,236,1.1083,3.4004
0.0260,236,1.1978,3.0706
0.0227,76,1.1044,0.9786
0.0144,165,1.3666,2.1003
0.0128,189,1.0844,2.3559
0.0337,257,2.6641,3.8556
0.0133,76,1.1124,1.1695

min: 0.0127, max: 0.0337, mean: 0.0218

min: 58.0000, max: 285.0000, mean: 175.1556

min: 0.8623, max: 2.6641, mean: 1.1602

min: 0.7857, max: 3.9243, mean: 2.1460

Liczba udanych prób: 45
