czas_planowania,il_pkt_w_trajektorii,droga_koncowki,droga_jointow,
0.0283,198,0.9639,1.7344
0.0353,198,0.9638,1.7346
0.0149,236,1.1976,2.2168
0.0253,189,1.1401,2.8773
0.0253,76,1.1045,0.9789
0.0446,261,1.3282,3.7333
0.0299,236,1.1498,3.9243
0.0274,251,0.9302,3.4345
0.0279,236,1.1976,3.0709
0.0258,189,1.1046,1.8322
0.0172,230,1.3378,2.8904
0.0238,76,1.1044,0.9788
0.0243,158,1.1286,1.8323
0.0145,189,1.1045,1.8321
0.0266,189,1.1126,2.0236
0.0249,217,1.1919,2.0260
0.0252,248,1.6255,4.0445
0.0251,236,1.1500,3.0709
0.0264,189,1.0924,2.5470
0.0365,189,1.1402,2.8767
0.0240,158,1.0845,1.5023
0.0263,217,1.1919,2.0259
0.0170,139,0.9990,1.5000
0.0461,76,1.1123,1.1699
0.0469,76,1.1124,1.1696
0.0358,290,1.6656,3.9446
0.0224,203,1.3268,2.8799
0.0288,139,0.9906,1.3088
0.0163,392,2.0774,4.5820
0.0245,58,0.8685,0.7858
0.0250,189,1.1045,1.8320
0.0167,165,1.1597,1.8011
0.0192,217,1.1918,2.8792
0.0238,189,1.1046,1.8323
0.0278,158,0.8560,1.3092
0.0242,158,1.1286,1.8321
0.0397,290,1.3517,3.3084
0.0252,58,0.8683,0.7856
0.0277,298,1.3945,3.4682
0.0149,189,1.1045,1.8325
0.0152,198,0.9639,1.7345
0.0251,235,1.0404,2.1728
0.0158,217,1.1918,2.8793
0.0277,226,1.1849,3.5940
0.0253,139,0.9906,1.3087
0.0150,158,0.8560,1.3091
0.0191,217,1.1918,2.8793
0.0149,189,1.1285,2.6862
0.0156,189,0.9990,2.3533
0.0250,236,1.0995,3.5940

min: 0.0145, max: 0.0469, mean: 0.0252

min: 58.0000, max: 392.0000, mean: 193.0800

min: 0.8560, max: 2.0774, mean: 1.1482

min: 0.7856, max: 4.5820, mean: 2.3184

Liczba udanych prób: 50
